"word","spelling"
"anatomia","ɐ.nɐ.tu.ˈmi.ɐ"
"peixe","ˈpɐj.ʃɨ"
"ornitologia","ɔɾ.ni.tu.lu.ˈʒi.ɐ"
"aracnídeo","ɐ.ɾɐ.ˈkni.dju"
"inseto","ĩ.ˈsɛ.tu"
"molusco","mu.ˈluʃ.ku"
"espécime","iʃ.ˈpɛ.si.mɨ"
"ictiologia","ik.tju.lu.ˈʒi.ɐ"
"réptil","ˈRɛp.tiɫ"
"verme","ˈvɛɾ.mɨ"
"ecologia","ɛ.ku.lu.ˈʒi.ɐ"
"categoria","kɐ.tɨ.ɡu.ˈɾi.ɐ"
"que","ˈkɨ"
"de","dɨ"
"camiseta","kɐ.mi.ˈze.ta"
"divulgar","di.vuɫ.ˈɡaɾ"
"cultura","kuɫ.ˈtu.ɾɐ"
"intervalo","ĩ.tɨɾ.ˈva.lu"
"crioulo","kɾi.ˈow.lu"
"com","kõ"
"rua","ˈRu.ɐ"
"erudição","e.ɾu.di.ˈsɐ̃w̃"
"nazismo","na.ˈziʒ.mu"
"escolher","iʃ.ku.ˈʎeɾ"
"assembleia","ɐ.sẽ.ˈblɐj.ɐ"
"eleger","i.lɨ.ˈʒeɾ"
"se","sɨ"
"intuito","ĩ.ˈtuj.tu"
"pica","ˈpi.kɐ"
"jurídico","ʒu.ˈɾi.di.ku"
"jurisprudência","ʒu.ɾiʃ.pɾu.ˈdẽ.sjɐ"
"código","ˈkɔ.di.ɡu"
"beringela","bɨ.ɾĩ.ˈʒɛ.lɐ"
"neutrão","new.ˈtɾɐ̃w̃"
"mnemónica","mnɨ.ˈmɔ.ni.kɐ"
"facto","ˈfak.tu"
"congénito","kõ.ˈʒɛ.ni.tu"
"ida","ˈi.dɐ"
"juntar","ʒũ.ˈtaɾ"
"tratar","tɾɐ.ˈtaɾ"
"fazer","fɐ.ˈzeɾ"
"naturismo","nɐ.tu.ˈɾiʒ.mu"
"naturista","nɐ.tu.ˈɾiʃ.tɐ"
"praia","ˈpɾaj.ɐ"
"começar","ku.mɨ.ˈsaɾ"
"guiar","ˈɡi.aɾ"
"oceano","ɔ.ˈsjɐ.nu"
"mar","ˈmaɾ"
"masturbação","mɐʃ.tuɾ.bɐ.ˈsɐ̃w̃"
"nu","ˈnu"
"literatura","li.tɨ.ɾɐ.ˈtu.ɾɐ"
"anais","ɐ.ˈnajʃ"
"igreja","i.ˈɡɾɐj.ʒɐ"
"sem","sɐ̃j̃"
"fonética","fu.ˈnɛ.ti.kɐ"
"semântica","sɨ.ˈmɐ̃.ti.kɐ"
"significado","si.ɡni.fi.ˈka.du"
"onde","ˈõ.dɨ"
"local","lu.ˈkaɫ"
"congresso","kõ.ˈɡɾɛ.su"
"múltiplo","ˈmuɫ.ti.plu"
"átomo","ˈa.tu.mu"
"qualquer","kwaɫ.ˈkɛɾ"
"operação","ɔ.pɨ.ɾɐ.ˈsɐ̃w̃"
"parecido","pɐ.ɾɨ.ˈsi.du"
"do","du"
"ou","ow"
"usar","u.ˈzaɾ"
"povo","ˈpo.vu"
"oriente","ɔ.ˈɾjẽ.tɨ"
"feminino","fɨ.mɨ.ˈni.nu"
"cona","ko.nɐ"
"sílaba","ˈsi.lɐ.bɐ"
"cortejar","kuɾ.tɨ.ˈʒaɾ"
"cotejar","ku.tɨ.ˈʒaɾ"
"verdelhão","vɨɾ.dɨ.ˈʎɐ̃w̃"
"chicha","ˈʃi.ʃɐ"
